"col_yeux";"col_cheveux"
"obs223";"DARK";"Red"
"obs224";"MEDIUM";"Fair"
"obs225";"LIGHT";"Medium"
"obs226";"DARK";"Dark"
"obs227";"LIGHT";"Red"
"obs228";"MEDIUM";"Red"
"obs229";"MEDIUM";"Dark"
"obs230";"LIGHT";"Fair"
"obs231";"MEDIUM";"Medium"
"obs232";"DARK";"Medium"
"obs233";"BLUE";"Fair"
"obs234";"DARK";"Medium"
"obs235";"DARK";"Red"
"obs236";"DARK";"Dark"
"obs237";"DARK";"Medium"
"obs238";"LIGHT";"Fair"
"obs239";"MEDIUM";"Dark"
"obs240";"LIGHT";"Fair"
"obs241";"DARK";"Dark"
"obs242";"LIGHT";"Medium"
"obs243";"LIGHT";"Fair"
"obs244";"MEDIUM";"Red"
"obs245";"DARK";"Medium"
"obs246";"LIGHT";"Medium"
"obs247";"MEDIUM";"Dark"
"obs248";"MEDIUM";"Medium"
"obs249";"MEDIUM";"Medium"
"obs250";"DARK";"Dark"
"obs251";"LIGHT";"Medium"
"obs252";"MEDIUM";"Medium"
"obs253";"DARK";"Medium"
"obs254";"MEDIUM";"Medium"
"obs255";"BLUE";"Medium"
"obs256";"LIGHT";"Fair"
"obs257";"LIGHT";"Medium"
"obs258";"BLUE";"Medium"
"obs259";"LIGHT";"Red"
"obs260";"MEDIUM";"Red"
"obs261";"MEDIUM";"Fair"
"obs262";"LIGHT";"Dark"
"obs263";"LIGHT";"Fair"
"obs264";"BLUE";"Fair"
"obs265";"DARK";"Dark"
"obs266";"BLUE";"Medium"
"obs267";"LIGHT";"Dark"
"obs268";"MEDIUM";"Medium"
"obs269";"DARK";"Medium"
"obs270";"MEDIUM";"Dark"
"obs271";"MEDIUM";"Medium"
"obs272";"LIGHT";"Red"
"obs273";"MEDIUM";"Medium"
"obs274";"DARK";"Dark"
"obs275";"LIGHT";"Dark"
"obs276";"DARK";"Dark"
"obs277";"BLUE";"Fair"
"obs278";"LIGHT";"Fair"
"obs279";"LIGHT";"Red"
"obs280";"LIGHT";"Fair"
"obs281";"BLUE";"Fair"
"obs282";"DARK";"Fair"
"obs283";"LIGHT";"Fair"
"obs284";"LIGHT";"Medium"
"obs285";"MEDIUM";"Medium"
"obs286";"MEDIUM";"Fair"
"obs287";"LIGHT";"Red"
"obs288";"LIGHT";"Medium"
"obs289";"LIGHT";"Fair"
"obs290";"DARK";"Fair"
"obs291";"LIGHT";"Red"
"obs292";"DARK";"Black"
"obs293";"MEDIUM";"Black"
"obs294";"LIGHT";"Fair"
"obs295";"MEDIUM";"Medium"
"obs296";"DARK";"Medium"
"obs297";"DARK";"Dark"
"obs298";"MEDIUM";"Medium"
"obs299";"LIGHT";"Medium"
"obs300";"DARK";"Dark"
"obs301";"BLUE";"Medium"
"obs302";"MEDIUM";"Medium"
"obs303";"MEDIUM";"Dark"
"obs304";"DARK";"Medium"
"obs305";"DARK";"Medium"
"obs306";"BLUE";"Medium"
"obs307";"MEDIUM";"Fair"
"obs308";"MEDIUM";"Fair"
"obs309";"MEDIUM";"Dark"
"obs310";"MEDIUM";"Dark"
"obs311";"DARK";"Medium"
"obs312";"DARK";"Medium"
"obs313";"DARK";"Dark"
"obs314";"MEDIUM";"Medium"
"obs315";"MEDIUM";"Medium"
"obs316";"BLUE";"Medium"
"obs317";"LIGHT";"Fair"
"obs318";"LIGHT";"Fair"
"obs319";"DARK";"Dark"
"obs320";"BLUE";"Dark"
"obs321";"MEDIUM";"Dark"
"obs322";"LIGHT";"Fair"
"obs323";"MEDIUM";"Dark"
"obs324";"LIGHT";"Red"
"obs325";"LIGHT";"Fair"
"obs326";"MEDIUM";"Fair"
"obs327";"DARK";"Fair"
"obs328";"MEDIUM";"Medium"
"obs329";"LIGHT";"Fair"
"obs330";"BLUE";"Fair"
"obs331";"MEDIUM";"Medium"
"obs332";"MEDIUM";"Black"
"obs333";"LIGHT";"Fair"
"obs334";"DARK";"Dark"
"obs335";"BLUE";"Red"
"obs336";"LIGHT";"Fair"
"obs337";"DARK";"Fair"
"obs338";"MEDIUM";"Medium"
"obs339";"MEDIUM";"Black"
"obs340";"BLUE";"Medium"
"obs341";"DARK";"Medium"
"obs342";"MEDIUM";"Medium"
"obs343";"LIGHT";"Medium"
"obs344";"DARK";"Dark"
"obs345";"DARK";"Medium"
"obs346";"DARK";"Black"
"obs347";"LIGHT";"Fair"
"obs348";"MEDIUM";"Dark"
"obs349";"MEDIUM";"Dark"
"obs350";"DARK";"Medium"
"obs351";"LIGHT";"Fair"
"obs352";"MEDIUM";"Fair"
"obs353";"MEDIUM";"Fair"
"obs354";"DARK";"Dark"
"obs355";"MEDIUM";"Medium"
"obs356";"MEDIUM";"Dark"
"obs357";"LIGHT";"Medium"
"obs358";"DARK";"Dark"
"obs359";"LIGHT";"Fair"
"obs360";"BLUE";"Dark"
"obs361";"DARK";"Medium"
"obs362";"LIGHT";"Red"
"obs363";"BLUE";"Fair"
"obs364";"DARK";"Dark"
"obs365";"DARK";"Black"
"obs366";"BLUE";"Medium"
"obs367";"LIGHT";"Medium"
"obs368";"MEDIUM";"Fair"
"obs369";"BLUE";"Medium"
"obs370";"LIGHT";"Fair"
"obs371";"DARK";"Fair"
"obs372";"LIGHT";"Red"
"obs373";"LIGHT";"Fair"
"obs374";"LIGHT";"Dark"
"obs375";"DARK";"Dark"
"obs376";"LIGHT";"Medium"
"obs377";"DARK";"Medium"
"obs378";"MEDIUM";"Medium"
"obs379";"MEDIUM";"Medium"
"obs380";"MEDIUM";"Medium"
"obs381";"MEDIUM";"Medium"
"obs382";"BLUE";"Dark"
"obs383";"DARK";"Medium"
"obs384";"MEDIUM";"Medium"
"obs385";"BLUE";"Fair"
"obs386";"MEDIUM";"Dark"
"obs387";"BLUE";"Medium"
"obs388";"LIGHT";"Medium"
"obs389";"DARK";"Fair"
"obs390";"LIGHT";"Dark"
"obs391";"DARK";"Black"
"obs392";"DARK";"Fair"
"obs393";"MEDIUM";"Dark"
"obs394";"BLUE";"Red"
"obs395";"LIGHT";"Medium"
"obs396";"BLUE";"Fair"
"obs397";"MEDIUM";"Medium"
"obs398";"DARK";"Medium"
"obs399";"MEDIUM";"Medium"
"obs400";"BLUE";"Dark"
"obs401";"LIGHT";"Fair"
"obs402";"DARK";"Medium"
"obs403";"MEDIUM";"Fair"
"obs404";"MEDIUM";"Red"
"obs405";"LIGHT";"Medium"
"obs406";"MEDIUM";"Medium"
"obs407";"LIGHT";"Medium"
"obs408";"MEDIUM";"Dark"
"obs409";"MEDIUM";"Fair"
"obs410";"MEDIUM";"Medium"
"obs411";"DARK";"Medium"
"obs412";"LIGHT";"Dark"
"obs413";"DARK";"Dark"
"obs414";"LIGHT";"Dark"
"obs415";"BLUE";"Fair"
"obs416";"MEDIUM";"Dark"
"obs417";"DARK";"Dark"
"obs418";"MEDIUM";"Black"
"obs419";"LIGHT";"Fair"
"obs420";"MEDIUM";"Medium"
"obs421";"DARK";"Dark"
"obs422";"BLUE";"Fair"
"obs423";"MEDIUM";"Medium"
"obs424";"BLUE";"Dark"
"obs425";"BLUE";"Fair"
"obs426";"DARK";"Medium"
"obs427";"BLUE";"Medium"
"obs428";"LIGHT";"Medium"
"obs429";"LIGHT";"Fair"
"obs430";"DARK";"Medium"
"obs431";"LIGHT";"Medium"
"obs432";"BLUE";"Medium"
"obs433";"LIGHT";"Medium"
"obs434";"LIGHT";"Fair"
"obs435";"LIGHT";"Dark"
"obs436";"DARK";"Medium"
"obs437";"LIGHT";"Fair"
"obs438";"MEDIUM";"Medium"
"obs439";"MEDIUM";"Medium"
"obs440";"MEDIUM";"Dark"
"obs441";"LIGHT";"Red"
"obs442";"LIGHT";"Fair"
"obs443";"LIGHT";"Fair"
"obs444";"BLUE";"Fair"
"obs445";"LIGHT";"Medium"
"obs446";"DARK";"Dark"
"obs447";"BLUE";"Medium"
"obs448";"DARK";"Fair"
"obs449";"BLUE";"Medium"
"obs450";"MEDIUM";"Dark"
"obs451";"MEDIUM";"Dark"
"obs452";"LIGHT";"Fair"
"obs453";"LIGHT";"Fair"
"obs454";"BLUE";"Fair"
"obs455";"MEDIUM";"Dark"
"obs456";"LIGHT";"Fair"
"obs457";"MEDIUM";"Fair"
"obs458";"DARK";"Dark"
"obs459";"LIGHT";"Dark"
"obs460";"DARK";"Dark"
"obs461";"DARK";"Dark"
"obs462";"LIGHT";"Medium"
"obs463";"MEDIUM";"Medium"
"obs464";"BLUE";"Medium"
"obs465";"DARK";"Dark"
"obs466";"LIGHT";"Dark"
"obs467";"MEDIUM";"Dark"
"obs468";"LIGHT";"Fair"
"obs469";"LIGHT";"Fair"
"obs470";"LIGHT";"Fair"
"obs471";"MEDIUM";"Dark"
"obs472";"LIGHT";"Medium"
"obs473";"MEDIUM";"Red"
"obs474";"MEDIUM";"Medium"
"obs475";"MEDIUM";"Dark"
"obs476";"BLUE";"Fair"
"obs477";"LIGHT";"Red"
"obs478";"DARK";"Dark"
"obs479";"LIGHT";"Medium"
"obs480";"DARK";"Dark"
"obs481";"DARK";"Black"
"obs482";"LIGHT";"Fair"
"obs483";"LIGHT";"Fair"
"obs484";"BLUE";"Dark"
"obs485";"MEDIUM";"Dark"
"obs486";"DARK";"Medium"
"obs487";"MEDIUM";"Medium"
"obs488";"DARK";"Medium"
"obs489";"DARK";"Medium"
"obs490";"LIGHT";"Fair"
"obs491";"DARK";"Fair"
"obs492";"BLUE";"Fair"
"obs493";"MEDIUM";"Medium"
"obs494";"LIGHT";"Red"
"obs495";"LIGHT";"Medium"
"obs496";"BLUE";"Dark"
"obs497";"DARK";"Dark"
"obs498";"BLUE";"Dark"
"obs499";"LIGHT";"Fair"
"obs500";"LIGHT";"Medium"
"obs501";"MEDIUM";"Medium"
"obs502";"MEDIUM";"Medium"
"obs503";"LIGHT";"Medium"
"obs504";"DARK";"Dark"
"obs505";"LIGHT";"Medium"
"obs506";"MEDIUM";"Medium"
"obs507";"LIGHT";"Medium"
"obs508";"DARK";"Medium"
"obs509";"LIGHT";"Fair"
"obs510";"DARK";"Dark"
"obs511";"LIGHT";"Red"
"obs512";"LIGHT";"Medium"
"obs513";"DARK";"Dark"
"obs514";"MEDIUM";"Medium"
"obs515";"LIGHT";"Fair"
"obs516";"MEDIUM";"Dark"
"obs517";"LIGHT";"Fair"
"obs518";"DARK";"Dark"
"obs519";"BLUE";"Medium"
"obs520";"BLUE";"Fair"
"obs521";"BLUE";"Fair"
"obs522";"MEDIUM";"Red"
"obs523";"MEDIUM";"Medium"
"obs524";"LIGHT";"Fair"
"obs525";"LIGHT";"Medium"
"obs526";"LIGHT";"Medium"
"obs527";"MEDIUM";"Fair"
"obs528";"DARK";"Medium"
"obs529";"DARK";"Dark"
"obs530";"BLUE";"Dark"
"obs531";"LIGHT";"Fair"
"obs532";"DARK";"Medium"
"obs533";"LIGHT";"Fair"
"obs534";"MEDIUM";"Medium"
"obs535";"DARK";"Dark"
"obs536";"DARK";"Medium"
"obs537";"MEDIUM";"Dark"
"obs538";"MEDIUM";"Medium"
"obs539";"DARK";"Medium"
"obs540";"BLUE";"Dark"
"obs541";"DARK";"Medium"
"obs542";"DARK";"Dark"
"obs543";"MEDIUM";"Medium"
"obs544";"LIGHT";"Red"
"obs545";"MEDIUM";"Medium"
"obs546";"LIGHT";"Medium"
"obs547";"MEDIUM";"Dark"
"obs548";"LIGHT";"Fair"
"obs549";"MEDIUM";"Medium"
"obs550";"MEDIUM";"Medium"
"obs551";"LIGHT";"Fair"
"obs552";"MEDIUM";"Medium"
"obs553";"LIGHT";"Medium"
"obs554";"LIGHT";"Dark"
"obs555";"LIGHT";"Dark"
"obs556";"BLUE";"Fair"
"obs557";"LIGHT";"Medium"
"obs558";"MEDIUM";"Dark"
"obs559";"MEDIUM";"Dark"
"obs560";"MEDIUM";"Medium"
"obs561";"BLUE";"Medium"
"obs562";"LIGHT";"Dark"
"obs563";"LIGHT";"Dark"
"obs564";"MEDIUM";"Dark"
"obs565";"LIGHT";"Medium"
"obs566";"LIGHT";"Fair"
"obs567";"MEDIUM";"Medium"
"obs568";"DARK";"Dark"
"obs569";"LIGHT";"Fair"
"obs570";"LIGHT";"Medium"
"obs571";"LIGHT";"Medium"
"obs572";"BLUE";"Medium"
"obs573";"MEDIUM";"Dark"
"obs574";"DARK";"Dark"
"obs575";"LIGHT";"Medium"
"obs576";"BLUE";"Medium"
"obs577";"BLUE";"Red"
"obs578";"LIGHT";"Medium"
"obs579";"MEDIUM";"Medium"
"obs580";"LIGHT";"Fair"
"obs581";"DARK";"Dark"
"obs582";"MEDIUM";"Medium"
"obs583";"DARK";"Dark"
"obs584";"MEDIUM";"Dark"
"obs585";"BLUE";"Dark"
"obs586";"BLUE";"Medium"
"obs587";"LIGHT";"Fair"
"obs588";"DARK";"Dark"
"obs589";"BLUE";"Fair"
"obs590";"MEDIUM";"Dark"
"obs591";"DARK";"Dark"
"obs592";"BLUE";"Medium"
"obs593";"BLUE";"Fair"
"obs594";"LIGHT";"Fair"
"obs595";"BLUE";"Dark"
"obs596";"MEDIUM";"Medium"
"obs597";"MEDIUM";"Medium"
"obs598";"BLUE";"Dark"
"obs599";"DARK";"Dark"
"obs600";"MEDIUM";"Medium"
"obs601";"LIGHT";"Medium"
"obs602";"DARK";"Dark"
"obs603";"BLUE";"Dark"
"obs604";"LIGHT";"Fair"
"obs605";"LIGHT";"Dark"
"obs606";"DARK";"Medium"
"obs607";"BLUE";"Medium"
"obs608";"BLUE";"Medium"
"obs609";"LIGHT";"Fair"
"obs610";"DARK";"Medium"
"obs611";"LIGHT";"Fair"
"obs612";"LIGHT";"Medium"
"obs613";"MEDIUM";"Medium"
"obs614";"DARK";"Dark"
"obs615";"DARK";"Red"
"obs616";"DARK";"Fair"
"obs617";"LIGHT";"Medium"
"obs618";"MEDIUM";"Fair"
"obs619";"DARK";"Dark"
"obs620";"DARK";"Medium"
"obs621";"MEDIUM";"Fair"
"obs622";"MEDIUM";"Fair"
"obs623";"DARK";"Dark"
"obs624";"DARK";"Medium"
"obs625";"MEDIUM";"Fair"
"obs626";"LIGHT";"Fair"
"obs627";"MEDIUM";"Dark"
"obs628";"LIGHT";"Medium"
"obs629";"MEDIUM";"Medium"
"obs630";"MEDIUM";"Dark"
"obs631";"MEDIUM";"Red"
"obs632";"BLUE";"Fair"
"obs633";"MEDIUM";"Fair"
"obs634";"LIGHT";"Medium"
"obs635";"LIGHT";"Medium"
"obs636";"MEDIUM";"Medium"
"obs637";"LIGHT";"Fair"
"obs638";"DARK";"Medium"
"obs639";"LIGHT";"Fair"
"obs640";"MEDIUM";"Dark"
"obs641";"LIGHT";"Dark"
"obs642";"LIGHT";"Red"
"obs643";"DARK";"Black"
"obs644";"MEDIUM";"Fair"
"obs645";"LIGHT";"Medium"
"obs646";"DARK";"Fair"
"obs647";"LIGHT";"Medium"
"obs648";"LIGHT";"Fair"
"obs649";"DARK";"Dark"
"obs650";"DARK";"Black"
"obs651";"BLUE";"Medium"
"obs652";"BLUE";"Medium"
"obs653";"BLUE";"Fair"
"obs654";"MEDIUM";"Dark"
"obs655";"MEDIUM";"Fair"
"obs656";"MEDIUM";"Medium"
"obs657";"DARK";"Dark"
"obs658";"DARK";"Medium"
"obs659";"LIGHT";"Medium"
"obs660";"BLUE";"Medium"
"obs661";"LIGHT";"Fair"
"obs662";"BLUE";"Dark"
"obs663";"MEDIUM";"Medium"
"obs664";"MEDIUM";"Dark"
"obs665";"MEDIUM";"Medium"
"obs666";"LIGHT";"Medium"
"obs667";"BLUE";"Fair"
"obs668";"DARK";"Dark"
"obs669";"LIGHT";"Medium"
"obs670";"MEDIUM";"Dark"
"obs671";"MEDIUM";"Medium"
"obs672";"MEDIUM";"Medium"
"obs673";"MEDIUM";"Medium"
"obs674";"LIGHT";"Fair"
"obs675";"MEDIUM";"Medium"
"obs676";"MEDIUM";"Dark"
"obs677";"DARK";"Dark"
"obs678";"MEDIUM";"Fair"
"obs679";"MEDIUM";"Fair"
"obs680";"LIGHT";"Fair"
"obs681";"MEDIUM";"Medium"
"obs682";"DARK";"Dark"
"obs683";"LIGHT";"Medium"
"obs684";"MEDIUM";"Fair"
"obs685";"BLUE";"Fair"
"obs686";"LIGHT";"Red"
"obs687";"MEDIUM";"Medium"
"obs688";"BLUE";"Medium"
"obs689";"MEDIUM";"Medium"
"obs690";"DARK";"Red"
"obs691";"MEDIUM";"Dark"
"obs692";"DARK";"Fair"
"obs693";"BLUE";"Dark"
"obs694";"BLUE";"Medium"
"obs695";"MEDIUM";"Red"
"obs696";"MEDIUM";"Medium"
"obs697";"LIGHT";"Red"
"obs698";"MEDIUM";"Fair"
"obs699";"BLUE";"Fair"
"obs700";"BLUE";"Medium"
"obs701";"BLUE";"Medium"
"obs702";"LIGHT";"Fair"
"obs703";"LIGHT";"Fair"
"obs704";"MEDIUM";"Red"
"obs705";"LIGHT";"Fair"
"obs706";"BLUE";"Fair"
"obs707";"DARK";"Dark"
"obs708";"LIGHT";"Medium"
"obs709";"MEDIUM";"Medium"
"obs710";"MEDIUM";"Medium"
"obs711";"MEDIUM";"Fair"
"obs712";"DARK";"Dark"
"obs713";"LIGHT";"Dark"
"obs714";"MEDIUM";"Red"
"obs715";"DARK";"Dark"
"obs716";"LIGHT";"Fair"
"obs717";"DARK";"Dark"
"obs718";"MEDIUM";"Medium"
"obs719";"MEDIUM";"Red"
"obs720";"MEDIUM";"Medium"
"obs721";"DARK";"Medium"
"obs722";"LIGHT";"Fair"
"obs723";"DARK";"Dark"
"obs724";"BLUE";"Fair"
"obs725";"MEDIUM";"Medium"
"obs726";"MEDIUM";"Medium"
"obs727";"MEDIUM";"Dark"
"obs728";"BLUE";"Medium"
"obs729";"LIGHT";"Medium"
"obs730";"BLUE";"Fair"
"obs731";"MEDIUM";"Medium"
"obs732";"BLUE";"Fair"
"obs733";"DARK";"Dark"
"obs734";"MEDIUM";"Medium"
"obs735";"DARK";"Dark"
"obs736";"DARK";"Dark"
"obs737";"LIGHT";"Dark"
"obs738";"LIGHT";"Red"
"obs739";"MEDIUM";"Medium"
"obs740";"LIGHT";"Medium"
"obs741";"DARK";"Medium"
"obs742";"MEDIUM";"Medium"
"obs743";"MEDIUM";"Red"
"obs744";"MEDIUM";"Dark"
"obs745";"DARK";"Fair"
"obs746";"MEDIUM";"Medium"
"obs747";"LIGHT";"Medium"
"obs748";"LIGHT";"Fair"
"obs749";"LIGHT";"Medium"
"obs750";"LIGHT";"Dark"
"obs751";"MEDIUM";"Medium"
"obs752";"DARK";"Dark"
"obs753";"LIGHT";"Fair"
"obs754";"MEDIUM";"Medium"
"obs755";"LIGHT";"Medium"
"obs756";"BLUE";"Fair"
"obs757";"MEDIUM";"Medium"
"obs758";"LIGHT";"Fair"
"obs759";"DARK";"Dark"
"obs760";"MEDIUM";"Medium"
"obs761";"DARK";"Dark"
"obs762";"LIGHT";"Red"
"obs763";"DARK";"Fair"
"obs764";"LIGHT";"Dark"
"obs765";"BLUE";"Medium"
"obs766";"DARK";"Dark"
"obs767";"LIGHT";"Medium"
"obs768";"MEDIUM";"Medium"
"obs769";"MEDIUM";"Medium"
"obs770";"LIGHT";"Dark"
"obs771";"MEDIUM";"Medium"
"obs772";"BLUE";"Fair"
"obs773";"DARK";"Fair"
"obs774";"BLUE";"Fair"
"obs775";"DARK";"Medium"
"obs776";"LIGHT";"Red"
"obs777";"MEDIUM";"Medium"
"obs778";"MEDIUM";"Medium"
"obs779";"BLUE";"Fair"
"obs780";"LIGHT";"Fair"
"obs781";"LIGHT";"Fair"
"obs782";"LIGHT";"Dark"
"obs783";"MEDIUM";"Dark"
"obs784";"DARK";"Dark"
"obs785";"LIGHT";"Medium"
"obs786";"BLUE";"Fair"
"obs787";"MEDIUM";"Medium"
"obs788";"LIGHT";"Medium"
"obs789";"DARK";"Fair"
"obs790";"BLUE";"Fair"
"obs791";"LIGHT";"Fair"
"obs792";"BLUE";"Dark"
